sno,question,a,b,c,d,answer,level,ref
1,A class is made abstract by declaring at least one of its functions as?,impure virtual function,pure virtual function,pure abstract function,impure abstract function,b,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
2,A pure virtual function is specified by placing?,1,0,1,infinite,b,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
3,Classes that can be used to instantiate objects are called?,concrete classes,interface,abstract class,None of the above,a,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
4,Which of the following is true?,The C++ interfaces are implemented using abstract classes,The purpose of an abstract class is to provide an appropriate base class from which other classes can inherit., Abstract classes cannot be used to instantiate objects and serves only as an interface.,All of the above,d,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
5,Where does the abstract class is used?,base class only,derived class,both derived & base class,virtual class,a,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
6,Which class is used to design the base class?,abstract class,derived class,base class,derived & base class,a,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
7,We cannot make an instance of an abstract base class,1,,Can be true and false,Can not say,a,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
8,We can make an instance of an abstract super class,1,,Can be true and false,Can not say,b,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
9,Which is the correct syntax of defining a pure virtual function?,pure virtual return_type func();,virtual return_type func() pure;,virtual return_type func() = 0;,virtual return_type func();,c,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
10,Which is the correct statement about pure virtual functions?,They should be defined inside a base class,Pure keyword should be used to declare a pure virtual function,Pure virtual function is implemented in derived classes,Pure virtual function cannot implemented in derived classes,c,easy,https://letsfindcourse.com/technical-questions/cplusplus/abstract-classes-mcq-in-cplusplus
11,Which among the following best defines abstraction?,Hiding the implementation,Showing the important data,Hiding the important data,Hiding the implementation and showing only the features,d,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
12,Hiding the implementation complexity can ____________,Make the programming easy,Make the programming complex,Provide more number of features,Provide better features,a,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
13,Class is _________ abstraction.,Object,Logical,Real,Hypothetical,b,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
14,Object is ________ abstraction.,Object,Logical,Real,Hypothetical,c,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
15,Abstraction gives higher degree of ________,Class usage,Program complexity,Idealized interface,Unstable interface,c,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
16,Abstraction can apply to ____________,Control and data,Only data,Only control,Classes,a,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
17,Which among the following can be viewed as combination of abstraction of data and code.,Class,Object,Inheritance,Interfaces,b,easy,https://www.sanfoundry.com/object-oriented-programming-questions-answers-abstraction/
